City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,pacific grove,36.6177,-121.9166,287.05,93,0,0.45,US,1690115025
197,longyearbyen,78.2186,15.6401,284.06,66,0,2.57,SJ,1690114848
198,uglich,57.5275,38.3317,292.41,67,98,4.91,RU,1690115018
199,lebu,-37.6167,-73.65,280.97,86,65,2.4,CL,1690115025
200,popayan,2.4382,-76.6132,288.7,76,96,1.89,CO,1690115025
201,cabo san lucas,22.8909,-109.9124,302.62,77,3,0.89,MX,1690114803
202,nyurba,63.2842,118.3319,297.41,60,6,0.54,RU,1690115025
203,whitehorse,60.7161,-135.0538,285.58,93,100,1.03,CA,1690114978
204,plast,54.3691,60.8136,296.74,36,81,5.09,RU,1690115026
205,klaksvik,62.2266,-6.589,283.66,79,96,6.41,FO,1690115026
206,lusambo,-4.9667,23.45,312.17,14,31,1.71,CD,1690115026
207,svobodnyy,51.4,128.1333,290.85,73,100,2.13,RU,1690115026
208,batouri,4.4333,14.3667,300.2,76,90,0.4,CM,1690115026
209,port elizabeth,-33.918,25.5701,289.32,63,20,10.29,ZA,1690115026
210,maracaju,-21.6144,-55.1683,294.93,50,0,1.47,BR,1690115026
211,ust-nera,64.5667,143.2,288.85,64,92,2.47,RU,1690115026
212,torit,4.4133,32.5678,306.86,37,16,1.09,SS,1690115026
213,shangmei,27.7428,111.2956,301.53,79,59,1.7,CN,1690115027
214,spring creek,40.7266,-115.5859,291.09,33,54,1.35,US,1690115027
215,kimbe,-5.5502,150.1429,298.25,85,90,3.25,PG,1690115027
216,vorkuta,67.5,64.0,289.95,92,99,2.51,RU,1690115027
217,daru,-9.0763,143.2092,298.19,71,100,5.41,PG,1690115027
218,ironwood,46.4547,-90.171,287.49,100,0,0.0,US,1690115027
219,crane,31.3974,-102.3501,298.51,49,82,3.33,US,1690114740
220,funafuti,-8.5243,179.1942,302.15,89,20,2.57,TV,1690114992
221,taoudenni,22.6783,-3.9836,316.45,16,48,2.45,ML,1690115028
222,badger,64.8,-147.5333,290.1,82,0,3.09,US,1690115028
223,la sarre,48.8002,-79.1996,288.58,60,24,2.29,CA,1690115028
224,la'ie,21.6477,-157.9253,300.13,84,44,6.26,US,1690115028
225,klyuchi,52.2667,79.1667,301.84,27,83,3.06,RU,1690115028
226,manicore,-5.8092,-61.3003,297.12,78,0,1.54,BR,1690115028
227,koulikoro,14.0,-7.75,305.05,45,65,1.97,ML,1690115028
228,anadyr,64.75,177.4833,285.43,87,75,1.0,RU,1690115028
229,nyandoma,61.669,40.1991,287.03,94,100,4.27,RU,1690115028
230,okha,53.5739,142.9478,287.41,76,2,4.47,RU,1690115029
231,remire-montjoly,4.9167,-52.2667,301.17,78,0,1.54,GF,1690114879
232,quellon,-43.1167,-73.6167,272.29,100,0,0.0,CL,1690115029
233,ar ruways,24.1103,52.7306,309.51,49,64,6.11,AE,1690115029
234,jayapura,-2.5333,140.7,296.81,89,99,3.61,ID,1690115029
235,susuman,62.7833,148.1667,280.66,95,100,0.75,RU,1690115029
236,calvi,42.5,8.8333,302.5,35,0,6.17,FR,1690115029
237,kirakira,-10.4544,161.9205,298.56,89,100,3.38,SB,1690115029
238,hami,42.8,93.45,310.6,9,1,4.44,CN,1690115029
239,mbaiki,3.8678,17.9892,305.61,47,100,0.76,CF,1690115030
240,hassi messaoud,31.6804,6.0729,318.07,5,0,3.6,DZ,1690115030
241,enewetak,11.3474,162.3373,301.86,77,73,8.0,MH,1690115030
242,nova vicosa,-17.8919,-39.3719,295.7,87,54,5.92,BR,1690115030
243,bac kan,22.1333,105.8333,300.6,84,66,0.81,VN,1690114755
244,mount pearl,47.5166,-52.7813,294.24,97,100,3.6,CA,1690115030
245,filadelfia,39.9523,-75.1638,297.7,72,20,0.0,US,1690114811
246,palmas,-10.2128,-48.3603,300.08,47,0,9.77,BR,1690114905
247,tura,25.5198,90.2201,300.1,90,99,0.98,IN,1690115030
248,san patricio,28.017,-97.5169,301.07,92,0,1.29,US,1690115031
249,constantia,44.1833,28.65,296.53,62,20,7.35,RO,1690115031
250,jiangzi,28.95,89.6333,288.48,38,95,4.47,CN,1690115031
251,nishinoomote,30.7333,131.0,300.38,87,7,3.64,JP,1690115031
252,fort mcmurray,56.7268,-111.381,286.92,100,0,2.57,CA,1690114945
253,aquiraz,-3.9014,-38.3911,301.2,65,24,6.35,BR,1690115032
254,new london,41.4834,-72.0662,296.9,70,0,4.63,US,1690114922
255,dedovichi,57.5517,29.9502,291.86,64,67,4.88,RU,1690115033
256,santiago de cao,-7.9589,-79.2392,294.22,83,75,2.57,PE,1690115033
257,puerto princesa,9.7392,118.7353,300.14,89,100,3.09,PH,1690115034
258,nar'yan-mar,67.6713,53.087,291.88,82,100,2.43,RU,1690115034
259,new norfolk,-42.7826,147.0587,281.88,81,96,1.21,AU,1690115034
260,saudarkrokur,65.7461,-19.6394,283.48,89,100,0.63,IS,1690115034
261,garbahaarrey,3.3289,42.2209,305.37,38,92,10.51,SO,1690115035
262,yashan,22.1975,109.9419,301.56,75,56,1.81,CN,1690115035
263,namibe,-15.1961,12.1522,297.04,56,34,7.66,AO,1690115035
264,talnakh,69.4865,88.3972,296.72,53,63,2.64,RU,1690115035
265,yenotayevka,47.2456,47.0281,303.09,37,77,4.55,RU,1690115035
266,dohrighat,26.2644,83.5164,310.8,36,91,5.75,IN,1690115036
267,ixtapa,20.7,-105.2,298.28,88,100,0.0,MX,1690115036
268,petukhovo,55.0692,67.9019,294.49,66,78,3.71,RU,1690115036
269,kuanda,56.3161,116.0806,294.52,64,87,1.46,RU,1690115036
270,dawson creek,55.7666,-120.2362,281.95,87,0,2.06,CA,1690114932
271,prince george,53.9166,-122.753,281.62,99,100,1.54,CA,1690115036
